end;Indicateurs;ti_metropole;ti_fr;start
2020-05-13;2020-05-07|2020-05-13;2.4971694457429483;;2020-05-07
2020-05-14;2020-05-08|2020-05-14;5.361088622054921;;2020-05-08
2020-05-15;2020-05-09|2020-05-15;7.888291782757962;;2020-05-09
2020-05-16;2020-05-10|2020-05-16;8.353602859604475;;2020-05-10
2020-05-17;2020-05-11|2020-05-17;8.762512593802924;;2020-05-11
2020-05-18;2020-05-12|2020-05-18;11.12163975341474;;2020-05-12
2020-05-19;2020-05-13|2020-05-19;13.717934558861655;;2020-05-13
2020-05-20;2020-05-14|2020-05-20;13.762350616197006;;2020-05-14
2020-05-21;2020-05-15|2020-05-21;11.22273916011139;;2020-05-15
2020-05-22;2020-05-16|2020-05-22;10.514479299808352;;2020-05-16
2020-05-23;2020-05-17|2020-05-23;10.401676614512228;;2020-05-17
2020-05-24;2020-05-18|2020-05-24;10.17607124391998;;2020-05-18
2020-05-25;2020-05-19|2020-05-25;9.466542353407357;;2020-05-19
2020-05-26;2020-05-20|2020-05-26;8.93072959825077;;2020-05-20
2020-05-27;2020-05-21|2020-05-27;8.461893437488753;;2020-05-21
2020-05-28;2020-05-22|2020-05-28;9.72161742553322;;2020-05-22
2020-05-29;2020-05-23|2020-05-29;9.298607355672754;;2020-05-23
2020-05-30;2020-05-24|2020-05-30;9.425510376630895;;2020-05-24
2020-05-31;2020-05-25|2020-05-31;9.46781138361694;;2020-05-25
2020-06-01;2020-05-26|2020-06-01;7.036067495345743;;2020-05-26
2020-06-02;2020-05-27|2020-06-02;6.570756418499232;;2020-05-27
2020-06-03;2020-05-28|2020-06-03;5.936241313708533;;2020-05-28
2020-06-04;2020-05-29|2020-06-04;5.752936950102332;;2020-05-29
2020-06-05;2020-05-30|2020-06-05;5.950341649370548;;2020-05-30
2020-06-06;2020-05-31|2020-06-06;6.034943663342641;;2020-05-31
2020-06-07;2020-06-01|2020-06-07;6.0631443346666725;;2020-06-01
2020-06-08;2020-06-02|2020-06-08;6.923264810049619;;2020-06-02
2020-06-09;2020-06-03|2020-06-09;6.472054068865123;;2020-06-03
2020-06-10;2020-06-04|2020-06-10;6.359251383568999;;2020-06-04
2020-06-11;2020-06-05|2020-06-11;5.893940306722486;;2020-06-05
2020-06-12;2020-06-06|2020-06-12;6.133646012976751;;2020-06-06
2020-06-13;2020-06-07|2020-06-13;5.964441985032564;;2020-06-07
2020-06-14;2020-06-08|2020-06-14;5.809338292750394;;2020-06-08
2020-06-15;2020-06-09|2020-06-15;5.611933593482177;;2020-06-09
2020-06-16;2020-06-10|2020-06-16;5.7670372857643475;;2020-06-10
2020-06-17;2020-06-11|2020-06-17;5.668334936130239;;2020-06-11
2020-06-18;2020-06-12|2020-06-18;6.020843327680626;;2020-06-12
2020-06-19;2020-06-13|2020-06-19;5.640134264806208;;2020-06-13
2020-06-20;2020-06-14|2020-06-20;5.710635943116285;;2020-06-14
2020-06-21;2020-06-15|2020-06-21;5.82343862841241;;2020-06-15
2020-06-22;2020-06-16|2020-06-22;6.1759470199627975;;2020-06-16
2020-06-23;2020-06-17|2020-06-23;6.23234836261086;;2020-06-17
2020-06-24;2020-06-18|2020-06-24;6.401552390555046;;2020-06-18
2020-06-25;2020-06-19|2020-06-25;6.38745205489303;;2020-06-19
2020-06-26;2020-06-20|2020-06-26;6.38745205489303;;2020-06-20
2020-06-27;2020-06-21|2020-06-27;6.429753061879077;;2020-06-21
2020-06-28;2020-06-22|2020-06-28;6.415652726217061;;2020-06-22
2020-06-29;2020-06-23|2020-06-29;6.302850040920937;;2020-06-23
2020-06-30;2020-06-24|2020-06-30;6.486154404527139;;2020-06-24
2020-07-01;2020-06-25|2020-07-01;6.38745205489303;;2020-06-25
2020-07-02;2020-06-26|2020-07-02;6.528455411513185;;2020-06-26
2020-07-03;2020-06-27|2020-07-03;6.669458768133341;;2020-06-27
2020-07-04;2020-06-28|2020-07-04;6.866863467401557;;2020-06-28
2020-07-05;2020-06-29|2020-07-05;6.8809638030635725;;2020-06-29
2020-07-06;2020-06-30|2020-07-06;7.515478907854271;;2020-06-30
2020-07-07;2020-07-01|2020-07-07;7.501378572192255;;2020-07-01
2020-07-08;2020-07-02|2020-07-08;7.825686292418613;;2020-07-02
2020-07-09;2020-07-03|2020-07-09;8.347398711913186;;2020-07-03
2020-07-10;2020-07-04|2020-07-10;8.925512474055823;;2020-07-04
2020-07-11;2020-07-05|2020-07-11;8.883211467069776;;2020-07-05
2020-07-12;2020-07-06|2020-07-12;8.798609453097683;;2020-07-06
2020-07-13;2020-07-07|2020-07-13;9.50362623619846;;2020-07-07
2020-07-14;2020-07-08|2020-07-14;8.587104418167451;;2020-07-08
2020-07-15;2020-07-09|2020-07-15;9.09471650200001;;2020-07-09
2020-07-16;2020-07-10|2020-07-16;9.898435634734893;;2020-07-10
2020-07-17;2020-07-11|2020-07-17;10.208643019299235;;2020-07-11
2020-07-18;2020-07-12|2020-07-18;10.6316530891597;;2020-07-12
2020-07-19;2020-07-13|2020-07-19;10.75855611011784;;2020-07-13
2020-07-20;2020-07-14|2020-07-20;10.91365980240001;;2020-07-14
2020-07-21;2020-07-15|2020-07-21;13.423519550238774;;2020-07-15
2020-07-22;2020-07-16|2020-07-22;14.354141703931797;;2020-07-16
2020-07-23;2020-07-17|2020-07-23;14.7207504311442;;2020-07-17
2020-07-24;2020-07-18|2020-07-24;15.425767214244978;;2020-07-18
2020-07-25;2020-07-19|2020-07-25;15.792375941457381;;2020-07-19
2020-07-26;2020-07-20|2020-07-26;16.14488433300777;;2020-07-20
2020-07-27;2020-07-21|2020-07-27;18.048429647379862;;2020-07-21
2020-07-28;2020-07-22|2020-07-28;19.740469926821724;;2020-07-22
2020-07-29;2020-07-23|2020-07-29;21.72861725516591;;2020-07-23
2020-07-30;2020-07-24|2020-07-30;23.618062233875992;;2020-07-24
2020-07-31;2020-07-25|2020-07-31;25.916416946784523;;2020-07-25
2020-08-01;2020-07-26|2020-08-01;26.861139436139563;;2020-07-26
2020-08-02;2020-07-27|2020-08-02;27.24184849901398;;2020-07-27
2020-08-03;2020-07-28|2020-08-03;28.55317971558142;;2020-07-28
2020-08-04;2020-07-29|2020-08-04;29.681206568542663;;2020-07-29
2020-08-05;2020-07-30|2020-08-05;31.302745169674452;;2020-07-30
2020-08-06;2020-07-31|2020-08-06;33.05118679176437;;2020-07-31
2020-08-07;2020-08-01|2020-08-07;35.23673881937678;;2020-08-01
2020-08-08;2020-08-02|2020-08-08;35.603347546589184;;2020-08-02
2020-08-09;2020-08-03|2020-08-09;35.800752245857396;;2020-08-03
2020-08-10;2020-08-04|2020-08-10;38.97332776981089;;2020-08-04
2020-08-11;2020-08-05|2020-08-11;41.652391545593844;;2020-08-05
2020-08-12;2020-08-06|2020-08-12;44.47245867799695;;2020-08-06
2020-08-13;2020-08-07|2020-08-13;49.026867096827964;;2020-08-07
2020-08-14;2020-08-08|2020-08-14;52.80575705424812;;2020-08-08
2020-08-15;2020-08-09|2020-08-15;52.2417436277675;;2020-08-09
2020-08-16;2020-08-10|2020-08-16;53.17236578146052;;2020-08-10
2020-08-17;2020-08-11|2020-08-17;57.91007856389773;;2020-08-11
2020-08-18;2020-08-12|2020-08-18;62.873396716927196;;2020-08-12
2020-08-19;2020-08-13|2020-08-19;67.8649155412807;;2020-08-13
2020-08-20;2020-08-14|2020-08-20;72.32062161047759;;2020-08-14
2020-08-21;2020-08-15|2020-08-21;76.05721056091171;;2020-08-15
2020-08-22;2020-08-16|2020-08-22;80.0476055532621;;2020-08-16
2020-08-23;2020-08-17|2020-08-23;81.21793341320938;;2020-08-17
2020-08-24;2020-08-18|2020-08-24;88.91671668466986;;2020-08-18
2020-08-25;2020-08-19|2020-08-25;96.54499827782026;;2020-08-19
2020-08-26;2020-08-20|2020-08-26;104.15917953530862;;2020-08-20
2020-08-27;2020-08-21|2020-08-27;110.9414409887381;;2020-08-21
2020-08-28;2020-08-22|2020-08-28;119.50034473558152;;2020-08-22
2020-08-29;2020-08-23|2020-08-29;121.16418434369935;;2020-08-23
2020-08-30;2020-08-24|2020-08-30;121.74229810584197;;2020-08-24
2020-08-31;2020-08-25|2020-08-31;128.76426526552572;;2020-08-25
2020-09-01;2020-08-26|2020-09-01;133.09306831376446;;2020-08-26
2020-09-02;2020-08-27|2020-09-02;134.9261119498265;;2020-08-27
2020-09-03;2020-08-28|2020-09-03;137.29496834104512;;2020-08-28
2020-09-04;2020-08-29|2020-09-04;138.5639985506265;;2020-08-29
2020-09-05;2020-08-30|2020-09-05;140.87645359919705;;2020-08-30
2020-09-06;2020-08-31|2020-09-06;140.53804554330867;;2020-08-31
2020-09-07;2020-09-01|2020-09-07;143.58371804630403;;2020-09-01
2020-09-08;2020-09-02|2020-09-08;147.50361136034434;;2020-09-02
2020-09-09;2020-09-03|2020-09-09;151.719611723287;;2020-09-03
2020-09-10;2020-09-04|2020-09-10;158.10706377818;;2020-09-04
2020-09-11;2020-09-05|2020-09-11;163.05628159554746;;2020-09-05
2020-09-12;2020-09-06|2020-09-12;161.80135172162807;;2020-09-06
2020-09-13;2020-09-07|2020-09-13;161.75905071464203;;2020-09-07
2020-09-14;2020-09-08|2020-09-14;166.89157289561567;;2020-09-08
2020-09-15;2020-09-09|2020-09-15;170.9242688949521;;2020-09-09
2020-09-16;2020-09-10|2020-09-16;177.170717593225;;2020-09-10
2020-09-17;2020-09-11|2020-09-17;181.65462433374591;;2020-09-11
2020-09-18;2020-09-12|2020-09-18;183.96707938231646;;2020-09-12
2020-09-19;2020-09-13|2020-09-19;189.49441096182653;;2020-09-13
2020-09-20;2020-09-14|2020-09-20;190.93264519935215;;2020-09-14
2020-09-21;2020-09-15|2020-09-21;196.3471740935661;;2020-09-15
2020-09-22;2020-09-16|2020-09-22;202.94613118338935;;2020-09-16
2020-09-23;2020-09-17|2020-09-23;205.343188245932;;2020-09-17
2020-09-24;2020-09-18|2020-09-24;205.94950267939865;;2020-09-18
2020-09-25;2020-09-19|2020-09-25;206.79552281911958;;2020-09-19
2020-09-26;2020-09-20|2020-09-26;205.8931013367506;;2020-09-20
2020-09-27;2020-09-21|2020-09-27;205.18808455364984;;2020-09-21
2020-09-28;2020-09-22|2020-09-28;202.76282681978316;;2020-09-22
2020-09-29;2020-09-23|2020-09-29;200.69007747746687;;2020-09-23
2020-09-30;2020-09-24|2020-09-30;204.00365635804053;;2020-09-24
2020-10-01;2020-09-25|2020-10-01;210.4616100912436;;2020-09-25
2020-10-02;2020-09-26|2020-10-02;223.05320983742348;;2020-09-26
2020-10-03;2020-09-27|2020-10-03;232.35943137435373;;2020-09-27
2020-10-04;2020-09-28|2020-10-04;234.57318407329015;;2020-09-28
2020-10-05;2020-09-29|2020-10-05;258.57195537004054;;2020-09-29
2020-10-06;2020-09-30|2020-10-06;279.0738434226111;;2020-09-30
2020-10-07;2020-10-01|2020-10-07;298.4195039508964;;2020-10-01
2020-10-08;2020-10-02|2020-10-08;318.8367899894949;;2020-10-02
2020-10-09;2020-10-03|2020-10-09;335.06627633647474;;2020-10-03
2020-10-10;2020-10-04|2020-10-10;339.4796813986856;;2020-10-04
2020-10-11;2020-10-05|2020-10-11;340.9179156362112;;2020-10-05
2020-10-12;2020-10-06|2020-10-12;358.57153588505463;;2020-10-06
2020-10-13;2020-10-07|2020-10-13;370.48631951945777;;2020-10-07
2020-10-14;2020-10-08|2020-10-14;377.2121796302391;;2020-10-08
2020-10-15;2020-10-09|2020-10-15;384.7276585380934;;2020-10-09
2020-10-16;2020-10-10|2020-10-16;394.28768611693994;;2020-10-10
2020-10-17;2020-10-11|2020-10-17;399.9560210530702;;2020-10-11
2020-10-18;2020-10-12|2020-10-18;401.38015495493374;;2020-10-12
2020-10-19;2020-10-13|2020-10-19;411.26449025400666;;2020-10-13
2020-10-20;2020-10-14|2020-10-20;430.1448397054454;;2020-10-14
2020-10-21;2020-10-15|2020-10-21;451.67605226134305;;2020-10-15
2020-10-22;2020-10-16|2020-10-22;472.9252581040005;;2020-10-16
2020-10-23;2020-10-17|2020-10-23;492.82083172310433;;2020-10-17
2020-10-24;2020-10-18|2020-10-24;502.01425057473847;;2020-10-18
2020-10-25;2020-10-19|2020-10-25;504.0164982387447;;2020-10-19
2020-10-26;2020-10-20|2020-10-26;531.7518584859292;;2020-10-20
2020-10-27;2020-10-21|2020-10-27;544.4985619243912;;2020-10-21
2020-10-28;2020-10-22|2020-10-28;545.3163813927881;;2020-10-22
2020-10-29;2020-10-23|2020-10-29;535.6435511286454;;2020-10-23
2020-10-30;2020-10-24|2020-10-30;529.2137980667663;;2020-10-24
2020-10-31;2020-10-25|2020-10-31;523.4608611166641;;2020-10-25
2020-11-01;2020-10-26|2020-11-01;541.0680912611796;;2020-10-26
2020-11-02;2020-10-27|2020-11-02;515.4380521316906;;2020-10-27
2020-11-03;2020-10-28|2020-11-03;485.4907722292056;;2020-10-28
2020-11-04;2020-10-29|2020-11-04;458.0310735442135;;2020-10-29
2020-11-05;2020-10-30|2020-11-05;429.29176939789346;;2020-10-30
2020-11-06;2020-10-31|2020-11-06;394.1279293138893;;2020-10-31
2020-11-07;2020-11-01|2020-11-07;377.2000533415698;;2020-11-01
2020-11-08;2020-11-02|2020-11-08;371.4149676261581;;2020-11-02
2020-11-09;2020-11-03|2020-11-09;331.1999642979501;;2020-11-03
2020-11-10;2020-11-04|2020-11-10;298.91343870913687;;2020-11-04
2020-11-11;2020-11-05|2020-11-11;241.97487327235197;;2020-11-05
2020-11-12;2020-11-06|2020-11-12;228.16937562902922;;2020-11-06
2020-11-13;2020-11-07|2020-11-13;207.88632478593314;;2020-11-07
2020-11-14;2020-11-08|2020-11-14;200.45967799274953;;2020-11-08
2020-11-15;2020-11-09|2020-11-15;198.7225166391892;;2020-11-09
2020-11-16;2020-11-10|2020-11-16;178.0745491091602;;2020-11-10
2020-11-17;2020-11-11|2020-11-17;163.2957052950885;;2020-11-11
2020-11-18;2020-11-12|2020-11-18;181.2179369382933;;2020-11-12
2020-11-19;2020-11-13|2020-11-19;161.0271022904268;;2020-11-13
2020-11-20;2020-11-14|2020-11-20;151.55153572219575;;2020-11-14
2020-11-21;2020-11-15|2020-11-21;151.2655809149701;;2020-11-15
2020-11-22;2020-11-16|2020-11-22;151.23582920672322;;2020-11-16
2020-11-23;2020-11-17|2020-11-23;140.54537771785294;;2020-11-17
2020-11-24;2020-11-18|2020-11-24;131.16188634149484;;2020-11-18
2020-11-25;2020-11-19|2020-11-25;126.67642856405106;;2020-11-19
2020-11-26;2020-11-20|2020-11-26;123.89076625066328;;2020-11-20
2020-11-27;2020-11-21|2020-11-27;119.71241378393822;;2020-11-21
2020-11-28;2020-11-22|2020-11-28;117.0012012428459;;2020-11-22
2020-11-29;2020-11-23|2020-11-29;116.60794288123226;;2020-11-23
2020-11-30;2020-11-24|2020-11-30;113.57270462662682;;2020-11-24
2020-12-01;2020-11-25|2020-12-01;111.20554027568765;;2020-11-25
2020-12-02;2020-11-26|2020-12-02;106.95866017764517;;2020-11-26
2020-12-03;2020-11-27|2020-12-03;104.16580669306977;;2020-11-27
2020-12-04;2020-11-28|2020-12-04;103.63450604532504;;2020-11-28
2020-12-05;2020-11-29|2020-12-05;104.19837846844904;;2020-11-29
2020-12-06;2020-11-30|2020-12-06;103.81738739886137;;2020-11-30
2020-12-07;2020-12-01|2020-12-07;105.2740930761042;;2020-12-01
2020-12-08;2020-12-02|2020-12-08;107.20583906180033;;2020-12-02
2020-12-09;2020-12-03|2020-12-09;109.99671849938306;;2020-12-03
2020-12-10;2020-12-04|2020-12-10;114.90871143060279;;2020-12-04
2020-12-11;2020-12-05|2020-12-11;118.90954067134308;;2020-12-05
2020-12-12;2020-12-06|2020-12-12;121.06900707798076;;2020-12-06
2020-12-13;2020-12-07|2020-12-13;122.61919798066273;;2020-12-07
2020-12-14;2020-12-08|2020-12-14;129.40935562206292;;2020-12-08
2020-12-15;2020-12-09|2020-12-15;134.9079225168225;;2020-12-09
2020-12-16;2020-12-10|2020-12-16;139.71825202791908;;2020-12-10
2020-12-17;2020-12-11|2020-12-17;140.11179239624593;;2020-12-11
2020-12-18;2020-12-12|2020-12-18;143.17706436581147;;2020-12-12
2020-12-19;2020-12-13|2020-12-19;146.00784775331775;;2020-12-13
2020-12-20;2020-12-14|2020-12-20;146.79577451011116;;2020-12-14
2020-12-21;2020-12-15|2020-12-21;147.42464948063704;;2020-12-15
2020-12-22;2020-12-16|2020-12-22;150.2861715998865;;2020-12-16
2020-12-23;2020-12-17|2020-12-23;151.54307552079854;;2020-12-17
2020-12-24;2020-12-18|2020-12-24;150.82198435504307;;2020-12-18
2020-12-25;2020-12-19|2020-12-25;128.1765632751329;;2020-12-19
2020-12-26;2020-12-20|2020-12-26;130.1689407041757;;2020-12-20
2020-12-27;2020-12-21|2020-12-27;129.19883761062903;;2020-12-21
2020-12-28;2020-12-22|2020-12-28;130.20094846612847;;2020-12-22
2020-12-29;2020-12-23|2020-12-29;128.62467194247176;;2020-12-23
2020-12-30;2020-12-24|2020-12-30;127.60902476473677;;2020-12-24
2020-12-31;2020-12-25|2020-12-31;127.11875609376852;;2020-12-25
2021-01-01;2020-12-26|2021-01-01;123.82914778382029;;2020-12-26
2021-01-02;2020-12-27|2021-01-02;125.67629175554431;;2020-12-27
2021-01-03;2020-12-28|2021-01-03;127.77724176918463;;2020-12-28
2021-01-04;2020-12-29|2021-01-04;133.9390884534854;;2020-12-29
2021-01-05;2020-12-30|2021-01-05;138.80370425688076;;2020-12-30
2021-01-06;2020-12-31|2021-01-06;142.31468783672264;;2020-12-31
2021-01-07;2021-01-01|2021-01-07;148.16632713645905;;2021-01-01
2021-01-08;2021-01-02|2021-01-08;172.85601488064825;;2021-01-02
2021-01-09;2021-01-03|2021-01-09;171.4741819857707;;2021-01-03
2021-01-10;2021-01-04|2021-01-10;171.1780749368684;;2021-01-04
2021-01-11;2021-01-05|2021-01-11;169.69753969235677;;2021-01-05
2021-01-12;2021-01-06|2021-01-12;168.97842257359397;;2021-01-06
2021-01-13;2021-01-07|2021-01-13;172.03819541225135;;2021-01-07
2021-01-14;2021-01-08|2021-01-14;174.6326571740622;;2021-01-08
2021-01-15;2021-01-09|2021-01-15;176.49390148144823;;2021-01-09
2021-01-16;2021-01-10|2021-01-16;177.5232259847754;;2021-01-10
2021-01-17;2021-01-11|2021-01-17;177.66422934139553;;2021-01-11
2021-01-18;2021-01-12|2021-01-18;181.3726176205056;;2021-01-12
2021-01-19;2021-01-13|2021-01-19;183.4594672984839;;2021-01-13
2021-01-20;2021-01-14|2021-01-20;183.84017636135835;;2021-01-14
2021-01-21;2021-01-15|2021-01-21;185.7014206687444;;2021-01-15
2021-01-22;2021-01-16|2021-01-22;187.7459693397366;;2021-01-16
2021-01-23;2021-01-17|2021-01-23;187.7177686684126;;2021-01-17
2021-01-24;2021-01-18|2021-01-24;186.97045087832578;;2021-01-18
2021-01-25;2021-01-19|2021-01-25;186.98455121398777;;2021-01-19
2021-01-26;2021-01-20|2021-01-26;187.13965490626995;;2021-01-20
2021-01-27;2021-01-21|2021-01-27;187.6190663187785;;2021-01-21
2021-01-28;2021-01-22|2021-01-28;190.31223043022345;;2021-01-22
2021-01-29;2021-01-23|2021-01-29;193.76681266741724;;2021-01-23
2021-01-30;2021-01-24|2021-01-30;196.93938819137074;;2021-01-24
2021-01-31;2021-01-25|2021-01-31;198.67372947779864;;2021-01-25
